Rank,Japanese,Kana,Vietnamese,English
113,業務,ぎょうむ,,
114,特徴,とくちょう,,
115,有効,ゆうこう,,
116,セキュリティ,せきゅりてぃ,,
117,選択する,せんたくする,,
118,起動する,きどうする,,
119,電子,でんし,,
120,メッセージボックス,めっせーじぼっくす,,
121,示す,しめす,,
122,実現する,じつげんする,,
123,取得する,しゅとくする,,
124,カメラ,かめら,,
125,位置,いち,,
126,開始する,かいしする,,
127,与える,あたえる,,
128,ブラウザ,ぶらうざ,,
129,導入する,どうにゅうする,,
130,全体,ぜんたい,,
131,条件,じょうけん,,
132,要素,ようそ,,
133,ユーザー,ゆーざー,,
134,設計する,せっけいする,,
135,直接,ちょくせつ,,
136,ポート,ぽーと,,
137,モード,もーど,,
138,出力する,しゅつりょくする,,
139,中心,ちゅうしん,,
140,運用する,うんようする,,
141,スマートフォン,すまーとふぉん,,
142,ダウンロードする,だうんろーどする,,
143,採用する,さいようする,,
144,キー,きー,,
145,加える,くわえる,,
146,構築する,こうちくする,,
147,領域,りょういき,,
148,ライセンス,らいせんす,,
149,進める,すすめる,,
150,リストアップする,りすとあっぷする,,
151,消費する,しょうひする,,
152,メニュー項目,めにゅーこうもく,,
153,実装する,じっそうする,,
154,音声,おんせい,,
155,展開する,てんかいする,,
156,内部処理,ないぶしょり,,
157,アドレス,あどれす,,
158,以前,いぜん,,
159,資料,しりょう,,
160,いくつ,いくつ,,
161,契約,けいやく,,
162,メディア,めでぃあ,,
163,含める,ふくめる,,
164,ビット,びっと,,
165,構造,こうぞう,,
166,終了する,しゅうりょうする,,
167,自体,じたい,,
168,項目,こうもく,,
169,モジュール,もじゅーる,,
170,初期状態,しょきじょうたい,,
171,プロセス,ぷろせす,,
172,再生する,さいせいする,,
173,オンライン,おんらいん,,
174,フレーム,ふれーむ,,
175,拡張する,かくちょうする,,
176,範囲,はんい,,
177,修正する,しゅうせいする,,
178,デスク,ですく,,
179,扱う,あつかう,,
180,書籍,しょせき,,
181,速度,そくど,,
182,ノート,のーと,,
183,高速,こうそく,,
184,変換する,へんかんする,,
185,独自,どくじ,,
186,分野,ぶんや,,
187,キーボード,きーぼーど,,
188,プログラミング,ぷろぐらみんぐ,,
189,コンピュータ,こんぴゅーた,,
190,文書,ぶんしょ,,
191,自動的,じどうてき,,
192,ログアウト,ろぐあうと,,
193,ログイン名,ろぐいんめい,,
194,ログオフ,ろぐおふ,,
195,ログオン,ろぐおん,,
196,大量,たいりょう,,
197,知識,ちしき,,
198,様々,さまざま,,
199,応じる,おうじる,,
200,搭載する,とうさいする,,
201,制限する,せいげんする,,
202,自身,じしん,,
203,目標,もくひょう,,
204,方式,ほうしき,,
205,移動する,いどうする,,
206,テキスト,てきすと,,
207,既存,きそん,,
208,キャッシュ,きゃっしゅ,,
209,モバイル,もばいる,,
210,使い方,つかいかた,,
211,ログ,ろぐ,,
212,単位,たんい,,
213,参照する,さんしょうする,,
214,バックアップする,ばっくあっぷする,,
215,解析する,かいせきする,,
216,仕組む,しくむ,,
217,リアルタイム,りあるたいむ,,
218,仮想,かそう,,
219,プラットフォーム,ぷらっとふぉーむ,,
220,オプション,おぷしょん,,
221,エンジン,えんじん,,
222,コマンド,こまんど,,
223,一覧する,いちらんする,,
224,段階,だんかい,,
225,各種,かくしゅ,,
226,デバイス,でばいす,,
227,ストレージ,すとれーじ,,
228,閲覧する,えつらんする,,
229,実施する,じっしする,,
230,同期する,どうきする,,
231,団体,だんたい,,
232,手順,てじゅん,,
233,パターン,ぱたーん,,
234,登場する,とうじょうする,,
235,効率,こうりつ,,
236,アップデート,あっぷでーと,,
237,マウス,まうす,,
238,タブレット,たぶれっと,,
239,それら,それら,,
240,容量,ようりょう,,
241,関連する,かんれんする,,
242,数字,すうじ,,
243,定義する,ていぎする,,
244,ワーク,わーく,,
245,分析する,ぶんせきする,,
246,記録する,きろくする,,
247,動く,うごき,,
248,基づく,もとづく,,
249,キーワード,きーわーど,,
250,十分,じゅうぶん,,
251,計算する,けいさんする,,
252,不要,ふよう,,
253,キャリア,きゃりあ,,
254,マシン,ましん,,
255,手法,しゅほう,,
256,適用する,てきようする,,
257,マークアップ言語,まーくあっぷげんご,,
258,ドメイン,どめいん,,
259,チャンネル,ちゃんねる,,
260,ソースコード,そーすこーど,,
261,発見する,はっけんする,,
262,評価する,ひょうかする,,
263,生成する,せいせいする,,
264,適切,てきせつ,,
265,書き込む,かきこむ,,
266,送信する,そうしんする,,
267,コア,こあ,,
268,任意,にんい,,
269,オープンソースソフトウェア,おーぷんそーすそふとうぇあ,,
270,制御する,せいぎょする,,
271,共有する,きょうゆうする,,
272,最適,さいてき,,
273,バグ,ばぐ,,
274,機器,きき,,
275,電源,でんげん,,
276,設置する,せっちする,,
277,統合する,とうごうする,,
278,性能,せいのう,,
279,シェア,しぇあ,,
280,高める,たかめる,,
281,スペース,すぺーす,,
282,確保する,かくほする,,
283,問い合わせる,といあわせる,,
284,共通する,きょうつうする,,
285,数値,すうち,,
286,正確,せいかく,,
287,シンプル,しんぷる,,
288,クラウド,くらうど,,
289,容易,ようい,,
290,両方,りょうほう,,
291,速い,はやい,,
292,セッション,せっしょん,,
293,向上する,こうじょうする,,
294,切り替える,きりかえる,,
295,生じる,しょうじる,,
296,組織,そしき,,
297,掲載する,けいさいする,,
298,比較する,ひかくする,,
299,用途,ようと,,
300,プラグイン,ぷらぐいん,,
301,オブジェクト,おぶじぇくと,,
302,権限,けんげん,,
303,読み込む,よみこむ,,
304,リーダ,りーだ,,
305,削除する,さくじょする,,
306,不具合,ふぐあい,,
307,個別,こべつ,,
308,リリースする,りりーすする,,
309,方向,ほうこう,,
310,空間,くうかん,,
311,スクリプト言語,すくりぷとげんご,,
312,メモ,めも,,
313,コピーする,こぴーする,,
314,完了する,かんりょうする,,
315,リソース,りそーす,,
316,従来,じゅうらい,,
317,概要,がいよう,,
318,履歴,りれき,,
319,規格,きかく,,
320,動かす,うごかす,,
321,改善する,かいぜんする,,
322,組み込む,くみこむ,,
323,複雑,ふくざつ,,
324,ライブラリ,らいぶらり,,
325,基準,きじゅん,,
326,起こる,おこる,,
327,代わり,かわり,,
328,配置する,はいちする,,
329,エラー,えらー,,
330,保証する,ほしょうする,,
331,解決する,かいけつする,,
332,事前,じぜん,,
333,活用する,かつようする,,
334,ルール,るーる,,
335,フォーマット,ふぉーまっと,,
336,単純,たんじゅん,,
337,ローカル変数,ろーかるへんすう,,
338,名称変更,めいしょうへんこう,,
339,ディスプレイ,でぃすぷれい,,
340,コスト,こすと,,
341,伴う,ともなう,,
342,はじめ,はじめ,,
343,住所,じゅうしょ,,
344,記載する,きさいする,,
345,不正,ふせい,,
346,社内,しゃない,,
347,文字列,もじれつ,,
348,フォーム,ふぉーむ,,
349,想定する,そうていする,,
350,ビデオカード,びでおかーど,,
351,ドキュメント,どきゅめんと,,
352,要件,ようけん,,
353,背景,はいけい,,
354,認識する,にんしきする,,
355,パスする,ぱすする,,
356,品質,ひんしつ,,
357,検証する,けんしょうする,,
358,前提,ぜんてい,,
359,顧客,こきゃく,,
360,経由する,けいゆする,,
361,変化する,へんかする,,
362,除く,のぞく,,
363,判断する,はんだんする,,
364,受信する,じゅしんする,,
365,通知する,つうちする,,
366,命令セット,めいれいせっと,,
367,リモートコントロール,りもーとこんとろーる,,
368,カスタマイズ,かすたまいず,,
369,格納する,かくのうする,,
370,分ける,わける,,
371,電力,でんりょく,,
372,共同,きょうどう,,
373,組み合わせる,くみあわせる,,
374,地図,ちず,,
375,具体,ぐたい,,
376,タブ,たぶ,,
377,記述する,きじゅつする,,
378,属性,ぞくせい,,
379,監視する,かんしする,,
380,表現する,ひょうげんする,,
381,注目する,ちゅうもくする,,
382,ルート,るーと,,
383,一時,いちじ,,
384,備える,そなえる,,
385,法人,ほうじん,,
386,正式,せいしき,,
387,発行する,はっこうする,,
388,テンプレート,てんぷれーと,,
389,エリア,えりあ,,
390,フォントサイズ,ふぉんとさいず,,
391,拡大する,かくだいする,,
392,インフラ,いんふら,,
393,継続する,けいぞくする,,
394,ノード,のーど,,
395,停止する,ていしする,,
396,配布する,はいふする,,
397,支援する,しえんする,,
398,チャット,ちゃっと,,
399,無効にする,むこうにする,,
400,基礎,きそ,,
401,運営する,うんえいする,,
402,要求する,ようきゅうする,,
403,主要,しゅよう,,
404,ボード,ぼーど,,
405,倍数,ばいすう,,
406,細かい,こまかい,,
407,パフォーマンス,ぱふぉーまんす,,
408,アルゴリズム,あるごりずむ,,
409,もと,もと,,
410,意味する,いみする,,
411,改良する,かいりょうする,,
412,無償,むしょう,,
413,大幅,おおはば,,
414,表す,あらわす,,
415,規模,きぼ,,
416,スイッチ,すいっち,,
417,優れる,すぐれる,,
418,チップ,ちっぷ,,
419,普及する,ふきゅうする,,
420,スレッド,すれっど,,
421,グラフ,ぐらふ,,
422,特許,とっきょ,,
423,ロード,ろーど,,
424,必須,ひっす,,
425,スケジュール,すけじゅーる,,
426,暗号,あんごう,,
427,更新する,こうしんする,,
428,依存する,いぞんする,,
429,ウイルス,ういるす,,
430,印刷する,いんさつする,,
431,アップロード,あっぷろーど,,
432,埋め込む,うめこむ,,
433,有料,ゆうりょう,,
434,権利,けんり,,
435,いわゆる,いわゆる,,
436,固定する,こていする,,
437,強化する,きょうかする,,
438,軽量,けうりょう,,
439,事例,じれい,,
440,ターゲット,たーげっと,,
441,パーツ,ぱーつ,,
442,部品,ぶひん,,
443,負荷軽減,ふかけいげん,,
444,高度,こうど,,
445,時刻,じこく,,
446,移行する,いこうする,,
447,成果,せいか,,
448,回数,かいすう,,
449,配列,はいれつ,,
450,要望,ようぼう,,
451,調整する,ちょうせいする,,
452,同時,どうじ,,
453,互換,ごかん,,
454,バッチ処理,ばっちしょり,,
455,レコード,れこーど,,
456,一定,いってい,,
457,選択肢,せんたくし,,
458,議論する,ぎろんする,,
459,反映する,はんえいする,,
460,マップ,まっぷ,,
461,担当する,たんとうする,,
462,いずれ,いずれ,,
463,ホスト名,ほすとめい,,
464,管理者,かんりしゃ,,
465,把握する,はあくする,,
466,割り当てる,わりあてる,,
467,ドット,どっと,,
468,役割,やくわり,,
469,そのもの,そのもの,,
470,手軽,てがる,,
471,物理メモリ,ぶつりめもり,,
472,セル,せる,,
473,保守,ほしゅ,,
474,マルチ,まるち,,
475,損害,そんがい,,
476,ウィンドウ,うぃんどう,,
477,トラブル,とらぶる,,
478,ハードウェア,はーどうぇあ,,
479,コミュニティ,こみゅにてぃ,,
480,ディスク,でぃすく,,
481,推奨する,すいしょうする,,
482,メリット,めりっと,,
483,グレード,ぐれーど,,
484,コミュニケーション,こみゅにけーしょん,,
485,稼働する,かどうする,,
486,方針,ほうしん,,
487,コンポーネント,こんぽーねんと,,
488,当初,とうしょ,,
489,カテゴリ,かてごり,,
490,取り込む,とりこむ,,
491,指す,さす,,
492,関数,かんすう,,
493,検討,けんとう,,
494,単語,たんご,,
495,統計,とうけい,,
496,利用可能,りようかのう,,
497,エンジニア,えんじにあ,,
498,解説する,かいせつする,,
499,呼び出す,よびだす,,
500,維持する,いじする,,
501,手続き,てつづき,,
502,置き換える,おきかえる,,
503,防ぐ,ふせぐ,,
504,入手する,にゅうしゅする,,
505,こうした,こうした,,
506,自社,じしゃ,,
507,翻訳する,ほんやくする,,
508,連携する,れんけいする,,
509,機構,きこう,,
510,あわせる,あわせる,,
511,実績,じっせき,,
512,資産,しさん,,
513,オン,おん,,
514,需要,じゅよう,,
515,カバーする,かばーする,,
516,動的,どうてき,,
517,汎用,はんよう,,
518,許可する,きょかする,,
519,コントロールする,こんとろーるする,,
520,概念,がいねん,,
521,インスタンス,いんすたんす,,
522,形態,けいたい,,
523,配信する,はいしんする,,
524,明確,めいかく,,
525,アニメーション,あにめーしょん,,
526,あらゆる,あらゆる,,
527,スロット,すろっと,,
528,メンテナンス,めんてなんす,,
529,つなぐ,つなぐ,,
530,フィールド,ふぃーるど,,
531,グローバル,ぐろーばる,,
532,マクロ機能,まくろきのう,,
533,付属する,ふぞくする,,
534,規約,きやく,,
535,考え方,かんがえかた,,
536,デフォルト設定,でふぉるとせってい,,
537,バージョンアップ,ばーじょんあっぷ,,
538,分散,ぶんさん,,
539,プレーヤー,ぷれーやー,,
540,基盤,きばん,,
541,二つ,ふたつ,,
542,カーネル,かーねる,,
543,正常,せいじょう,,
544,手間,てま,,
545,回線,かいせん,,
546,限定する,げんていする,,
547,リクエスト,りくえすと,,
548,解消する,かいしょうする,,
549,支払う,しはらう,,
550,コール,こーる,,
551,応用する,おうようする,,
552,一括,いっかつ,,
553,開発環境,かいはつかんきょう,,
554,高まる,たかまる,,
555,困難,こんなん,,
556,順番,じゅんばん,,
557,減らす,へらす,,
558,最小,さいしょう,,
559,マニュアル,まにゅある,,
560,箇所,かしょ,,
561,転送する,てんそうする,,
562,オーディオ,おーでぃお,,
563,受け付ける,うけつける,,
564,ループ,るーぷ,,
565,保持する,ほじする,,
566,理論,りろん,,
567,番目,ばんめ,,
568,辞書,じしょ,,
569,センサー,せんさー,,
570,ロゴ,ろご,,
571,工程,こうてい,,
572,何らかの,なんらかの,,
573,設備,せつび,,
574,定める,さだめる,,
575,コントローラ,こんとろーら,,
576,視点,してん,,
577,精度,せいど,,
578,仮想マシン,かそうましん,,
579,実用,じつよう,,
580,プロトコル,ぷろとこる,,
581,解像度,かいぞうど,,
582,考慮する,こうりょする,,
583,レイアウト,れいあうと,,
584,未満,みまん,,
585,タスク,たすく,,
586,応答する,おうとうする,,
587,相当する,そうとうする,,
588,個々,ここ,,
589,スマート,すまーと,,
590,つながる,つながる,,
591,研究所,けんきゅうしょ,,
592,アーカイブファイル,あーかいぶふぁいる,,
593,プログラミング言語,ぷろぐらみんぐげんご,,
594,抽出する,ちゅうしゅつする,,
595,直後,ちょくご,,
596,ウェブサイト,うぇぶさいと,,
597,重視する,じゅうしする,,
598,請求する,せいきゅうする,,
599,グラフィック,ぐらふぃっく,,
600,発信する,はっしんする,,
601,メソッド,めそっど,,
602,禁止する,きんしする,,
603,アイデア,あいであ,,
604,分割する,ぶんかつする,,
605,ファイル名,ふぁいるめい,,
606,迅速,じんそく,,
607,案件,あんけん,,
608,柔軟,じゅうなん,,
609,意識する,いしきする,,
610,ポリシー,ぽりしー,,
611,単一,たんいつ,,
612,プライベート,ぷらいべーと,,
613,単体,たんたい,,
614,指示する,しじする,,
615,増加,ぞうか,,
616,例外,れいがい,,
617,依頼する,いらいする,,
618,論理,ろんり,,
619,簡易,かんい,,
620,ビルド,びるど,,
621,乱数生成,らんすうせいせい,,
622,ランダム,らんだむ,,
623,規定,きてい,,
624,ピクセル,ぴくせる,,
625,買収する,ばいしゅうする,,
626,検出する,けんしゅつする,,
627,減少する,げんしょうする,,
628,利点,りてん,,
629,パネル,ぱねる,,
630,誤る,あやまる,,
631,演算,えんざん,,
632,統一する,とういつする,,
633,パケット通信,ぱけっとつうしん,,
634,駆動する,くどうする,,
635,無線,むせん,,
636,安価,あんか,,
637,ロボット,ろぼっと,,
638,次世代,じせだい,,
639,商用,しょうよう,,
640,手元,てもと,,
641,取り出す,とりだす,,
642,検索結果,けんさくけっか,,
643,手動,しゅどう,,
644,内蔵する,ないぞうする,,
645,スクリーンセーバー,すくりーんせーばー,,
646,ノウハウ,のうはう,,
647,挿入する,そうにゅうする,,
648,インデックス,いんでっくす,,
649,変数,へんすう,,
650,カスタム,かすたむ,,
651,図る,はかる,,
652,拡張機能,かくちょうきのう,,
653,挙動,きょどう,,
654,収集する,しゅうしゅうする,,
655,コンソール,こんそーる,,
656,コンパイル,こんぱいる,,
657,アーキテクチャ,あーきてくちゃ,,
658,該当する,がいとうする,,
659,調査する,ちょうさする,,
660,外付け,そとづけ,,
661,制約,せいやく,,
662,ディレクトリ,でぃれくとり,,
663,一致する,いっちする,,
664,代替する,だいたいする,,
665,制作する,せいさくする,,
666,全般,ぜんぱん,,
667,管理システム,かんりしすてむ,,
668,提示する,ていじする,,
669,同等,どうとう,,
670,マネジメント,まねじめんと,,
671,割合,わりあい,,
672,チェックする,ちぇっくする,,
673,適する,てきする,,
674,回路,かいろ,,
675,急速,きゅうそく,,
676,書き換える,かきかえる,,
677,バッファオーバーフロー,ばっふぁおーばーふろー,,
678,回避する,かいひする,,
679,階層,かいそう,,
680,促す,うながす,,
681,所有する,しょゆうする,,
682,近年,きんねん,,
683,出現する,しゅつげんする,,
684,用語,ようご,,
685,先頭,せんとう,,
686,中間,ちゅうかん,,
687,実践,じっせん,,
688,口座,こうざ,,
689,本文,ほんぶん,,
690,科目,かもく,,
691,コーディング,こーでぃんぐ,,
692,分類する,ぶんるいする,,
693,ボリューム,ぼりゅーむ,,
694,予想する,よそうする,,
695,頻度,ひんど,,
696,証明する,しょうめいする,,
697,提案する,ていあんする,,
698,絞る,しぼる,,
699,再現する,さいげんする,,
700,上部,じょうぶ,,
701,化,か,,
702,廃止する,はいしする,,
703,描画する,びょうがする,,
704,ノイズ,のいず,,
705,投入する,とうにゅうする,,
706,オーバーする,おーばーする,,
707,原則,げんそく,,
708,過程,かてい,,
709,ハードディスク,はーどでぃすく,,
710,付与する,ふよする,,
711,現行,げんこう,,
712,判定する,はんていする,,
713,クロック,くろっく,,
714,拠点,きょてん,,
715,コンセプト,こんせぷと,,
716,論文,ろんぶん,,
717,コンテナ,こんてな,,
718,ラベル,らべる,,
719,頻繁,ひんぱん,,
720,維持,いじ,,
721,通貨,つうか,,
722,介す,かいす,,
723,パラメータ,ぱらめーた,,
724,レスポンス,れすぽんす,,
725,執行,しっこう,,
726,使い勝手,つかいがって,,
727,強力,きょうりょく,,
728,低下する,ていかする,,
729,リファレンス,りふぁれんす,,
730,沿う,そう,,
731,確立する,かくりつする,,
732,進行,しんこう,,
733,回転する,かいてんする,,
734,間隔,かんかく,,
735,進捗,しんちょく,,
736,設ける,もうける,,
737,音源,おんげん,,
738,エディション,えでぃしょん,,
739,アクティブ,あくてぃぶ,,
740,独立する,どくりつする,,
741,アプローチ,あぷろーち,,
742,講義,こうぎ,,
743,計測する,けいそくする,,
744,アンテナ,あんてな,,
745,学習する,がくしゅうする,,
746,再起動,さいきどう,,
747,ターミナル,たーみなる,,
748,創造,そうぞう,,
749,ショートカット,しょーとかっと,,
750,対処する,たいしょする,,
751,整理する,せいりする,,
752,多様,たよう,,
753,読み取る,よみとる,,
754,フィルタ,ふぃるた,,
755,プロファイル,ぷろふぁいる,,
756,事態,じたい,,
757,端子,たんし,,
758,匿名,とくめい,,
759,上限,じょうげん,,
760,同一,どういつ,,
761,記号,きごう,,
762,分かれる,わかれる,,
763,警告する,けいこくする,,
764,集計する,しゅうけいする,,
765,セグメント,せぐめんと,,
766,フォーラム,ふぉーらむ,,
767,設定ファイル,せっていふぁいる,,
768,措置,そち,,
769,実質,じっしつ,,
770,新機能,しんきのう,,
771,タップ,たっぷ,,
772,レンダリング,れんだりんぐ,,
773,予測する,よそくする,,
774,プログラマ,ぷろぐらま,,
775,関係する,かんけいする,,
776,静的,せいてき,,
777,フロー,ふろー,,
778,従う,したがう,,
779,観点,かんてん,,
780,ユニーク,ゆにーく,,
781,移植する,いしょくする,,
782,宣言する,せんげんする,,
783,第三者,だいさんしゃ,,
784,プロダクト,ぷろだくと,,
785,固有,こゆう,,
786,ストリーム,すとりーむ,,
787,検索エンジン,けんさくえんじん,,
788,フラッシュ,ふらっしゅ,,
789,トップページ,とっぷぺーじ,,
790,高速化,こうそくか,,
791,クエリ,くえり,,
792,冒頭,ぼうとう,,
793,マイクロ秒,まいくろびょう,,
794,補正する,ほせいする,,
795,連続する,れんぞくする,,
796,単なる,たんなる,,
797,影響する,えいきょうする,,
798,遅延する,ちえんする,,
799,指標,しひょう,,
800,可視,かし,,
801,シミュレーション,しみゅれーしょん,,
802,ファイアウォール,ふぁいあうぉーる,,
803,研究する,けんきゅうする,,
804,自動生成,じどうせいせい,,
805,スムーズ,すむーず,,
806,指摘,してき,,
807,周波数,しゅうはすう,,
808,音質,おんしつ,,
809,ファイルシステム,ふぁいるしすてむ,,
810,ゾーン,ぞーん,,
811,アダプタ,あだぷた,,
812,発展する,はってんする,,
813,記す,しるす,,
814,エージェント,えーじぇんと,,
815,試みる,こころみる,,
816,一斉,いっせい,,
817,基板,きばん,,
818,スクロールする,すくろーるする,,
819,促進する,そくしんする,,
820,調達,ちょうたつ,,
821,記入する,きにゅうする,,
822,トランザクション,とらんざくしょん,,
823,感染,かんせん,,
824,工夫する,くふうする,,
825,負う,おう,,
826,インタフェース,いんたふぇーす,,
827,経路,けいろ,,
828,重複する,ちょうふくする,,
829,達する,たっする,,
830,署名する,しょめいする,,
831,やり取りする,やりとりする,,
832,スライドする,すらいどする,,
833,素早い,すばやい,,
834,識別する,しきべつする,,
835,損失,そんしつ,,
836,ダウンする,だうんする,,
837,分離する,ぶんりする,,
838,サード,さーど,,
839,移す,うつす,,
840,優先する,ゆうせんする,,
841,クリップ,くりっぷ,,
842,最小限,さいしょうげん,,
843,リセット,りせっと,,
844,系列,けいれつ,,
845,一連,いちれん,,
846,画面上,がめんじょう,,
847,主流,しゅりゅう,,
848,都道府県,とどうふけん,,
849,復元する,ふくげんする,,
850,フォーカス,ふぉーかす,,
851,マネージャ,まねーじゃ,,
852,引数,ひきすう,,
853,オフライン,おふらいん,,
854,カーソル,かーそる,,
855,測定する,そくていする,,
856,規則,きそく,,
857,デュアル,でゅある,,
858,複製する,ふくせいする,,
859,仮想化,かそうか,,
860,台数,だいすう,,
861,差分,さぶん,,
862,著作,ちょさく,,
863,ドライバ,どらいば,,
864,同意する,どういする,,
865,ビジョン,びじょん,,
866,対話,たいわ,,
867,後継,こうけい,,
868,解釈する,かいしゃくする,,
869,発注,はっちゅう,,
870,ソケット,そけっと,,
871,フィードバックする,ふぃーどばっくする,,
872,並列,へいれつ,,
873,駆使する,くしする,,
874,最低限,さいていげん,,
875,シリアルポート,しりあるぽーと,,
876,区別する,くべつする,,
877,入れ替える,いれかえる,,
878,準拠する,じゅんきょする,,
879,非公開,ひこうかい,,
880,シェルスクリプト,しぇるすくりぷと,,
881,録音する,ろくおんする,,
882,プレゼンテーション,ぷれぜんてーしょん,,
883,マウント,まうんと,,
884,横断,おうだん,,
885,書式,しょしき,,
886,意図する,いとする,,
887,画素,がしゅう,,
888,取り入れる,とりいれる,,
889,派生する,はせいする,,
890,比率,ひりつ,,
891,視聴する,しちょうする,,
892,有無,うむ,,
893,承認,しょうにん,,
894,電子メールアドレス,でんしめーるあどれす,,
895,初代,しょだい,,
896,双方,そうほう,,
897,縮小する,しゅくしょうする,,
898,意図,いと,,
899,進歩,しんぽ,,
900,ヘッダ,へっだ,,
901,実行時,じっこうじ,,
902,小規模,しょうきぼ,,
903,圧縮する,あっしゅくする,,
904,商標,しょうひょう,,
905,整備する,せいびする,,
906,望ましい,のぞましい,,
907,実行環境,じっこうかんきょう,,
908,地点,ちてん,,
909,禁じる,きんじる,,
910,アンインストール,あんいんすとーる,,
911,リード,りーど,,
912,防止,ぼうし,,
913,別々,べつべつ,,
914,情報システム,じょうほうしすてむ,,
915,保有する,ほゆうする,,
916,右側,みぎがわ,,
917,検知する,けんちする,,
918,ハッシュ関数,はっしゅかんすう,,
919,発揮する,はっきする,,
920,誕生する,たんじょうする,,
921,抵抗,ていこう,,
922,削減,さくげん,,
